{saved1=1.6601054813303126E-5, saveda10=1.7512008605256443E-8, saved3=4.458278384994758E-13, savedb10=0.0028993771329527394, CFJ6UW6tW=9.660220183921732E-5, savedb0=0.9973806575475634, savedc1=7.855318601304149E-16, savedb1=3.713279414437988E-4, savedb2=8.20028489142294E-7, savedb3=0.0020553049712372564, savedb4=0.0010023138197040975, savedb5=0.0026735804460517125, saveda5=2.2964256324243266E-5, savedb6=8.021663467802146E-6, saveda6=2.467001686639267E-5, savedb7=6.059470683632329E-8, saveda7=2.8196254233429077E-5, savedb8=4.992027759400585E-11, saveda8=2.461324665384043E-5, savedb9=1.0459581569721346E-7, saveda9=2.2232480525223097E-5}
{saved1=1.2102956037941485E-4, saveda10=7.400267111534036E-4, saved3=8.780017273490907E-9, savedb10=5.620218857227724E-9, CFJ6UW6tW=7.911083937335437E-4, savedb0=9.145088342666662E-5, savedc1=4.7590840755077664E-4, savedb1=2.9848981665727793E-6, savedb2=2.9065267619024974E-8, savedb3=3.854934844781795E-10, savedb4=9.848339821770734E-7, savedb5=1.3626701569325373E-5, saveda5=1.234241221788921E-4, savedb6=4.740385728377198E-5, saveda6=1.471000511204878E-4, savedb7=0.9975435313899759, saveda7=1.7789213816333838E-4, savedb8=3.296985262957653E-12, saveda8=1.7000950390199204E-4, savedb9=4.258129853795636E-13, saveda9=1.5023082992980766E-4}
{saved1=1.2099650751991069E-4, saveda10=7.390028233696375E-4, saved3=8.774607392316243E-9, savedb10=5.6081921966315184E-9, CFJ6UW6tW=7.904471306794673E-4, savedb0=9.1314678985056E-5, savedc1=4.761224760302129E-4, savedb1=2.9804744880089636E-6, savedb2=2.9067266733343196E-8, savedb3=3.844314907851542E-10, savedb4=9.826854413876314E-7, savedb5=1.3620476032465452E-5, saveda5=1.2338723186692353E-4, savedb6=4.727647663543014E-5, saveda6=1.47058201121714E-4, savedb7=0.9975426337410876, saveda7=1.7784372516522638E-4, savedb8=3.2970529654534173E-12, saveda8=1.699619331403484E-4, savedb9=4.250573976706413E-13, saveda9=1.5018997528064195E-4}
{saved1=1.2099650751988533E-4, saveda10=7.390028233688657E-4, saved3=8.774607392312129E-9, savedb10=5.608192196622294E-9, CFJ6UW6tW=7.904471306789461E-4, savedb0=9.131467898494993E-5, savedc1=4.761224760303858E-4, savedb1=2.9804744880055962E-6, savedb2=2.9067266733344536E-8, savedb3=3.8443149078433887E-10, savedb4=9.826854413859975E-7, savedb5=1.3620476032460953E-5, saveda5=1.2338723186689526E-4, savedb6=4.7276476635333564E-5, saveda6=1.4705820112168188E-4, savedb7=0.997542633741087, saveda7=1.778437251651891E-4, savedb8=3.2970529654534997E-12, saveda8=1.6996193314031157E-4, savedb9=4.250573976700689E-13, saveda9=1.5018997528061073E-4}
{saved1=2.970058773226484E-5, saveda10=7.048581737875663E-9, saved3=2.1692695103779955E-13, savedb10=3.160457906667649E-5, CFJ6UW6tW=1.2897252103577788E-10, savedb0=0.0020972212878608227, savedc1=8.538485160627776E-8, savedb1=0.001651964270000085, savedb2=8.002592865187703E-8, savedb3=1.1854191695876472E-7, savedb4=6.638957343812567E-5, savedb5=0.9936573295504384, saveda5=3.7743989189428185E-5, savedb6=0.001198016822453902, saveda6=4.2941073404909004E-5, savedb7=9.569730194990125E-8, saveda7=4.71009283529057E-5, savedb8=1.322413206905544E-9, saveda8=4.492976222048427E-5, savedb9=2.2576559274898505E-4, saveda9=4.3426335029855706E-5}
{saved1=3.134821382281116E-5, saveda10=1.4427733172614819E-8, saved3=1.1261571968807996E-13, savedb10=3.5981676031149734E-5, CFJ6UW6tW=1.663564013814219E-10, savedb0=0.002212502028638124, savedc1=7.038846543431949E-8, savedb1=0.0017338496836174153, savedb2=7.299231570029794E-8, savedb3=1.4472021753035878E-7, savedb4=6.607923642015715E-5, savedb5=0.9940566570725052, saveda5=3.994003627873711E-5, savedb6=0.0013887832574645271, saveda6=4.543641242610501E-5, savedb7=1.137409915195412E-7, saveda7=4.974672997875729E-5, savedb8=8.562557059235129E-10, saveda8=4.749336727968399E-5, savedb9=1.349198688976559E-4, saveda9=4.581095556386834E-5}
{saved1=1.2102956048190833E-4, saveda10=7.400267143296349E-4, saved3=8.780017290268781E-9, savedb10=5.6202188945460205E-9, CFJ6UW6tW=7.911083957844538E-4, savedb0=9.145088384904875E-5, savedc1=4.7590840688781867E-4, savedb1=2.984898180291924E-6, savedb2=2.906526761284999E-8, savedb3=3.854934877743651E-10, savedb4=9.848339888420064E-7, savedb5=1.3626701588599677E-5, saveda5=1.2342412229328896E-4, savedb6=4.7403857679079125E-5, saveda6=1.4710005125026323E-4, savedb7=0.9975435313927568, saveda7=1.7789213831346474E-4, savedb8=3.296985262754534E-12, saveda8=1.7000950404950663E-4, savedb9=4.258129877229187E-13, saveda9=1.5023083005649408E-4}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.001336448805781572, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
{saved1=1.2102956037941485E-4, saveda10=7.400267111534036E-4, saved3=8.780017273490907E-9, savedb10=5.620218857227724E-9, CFJ6UW6tW=7.911083937335437E-4, savedb0=9.145088342666662E-5, savedc1=4.7590840755077664E-4, savedb1=2.9848981665727793E-6, savedb2=2.9065267619024974E-8, savedb3=3.854934844781795E-10, savedb4=9.848339821770734E-7, savedb5=1.3626701569325373E-5, saveda5=1.234241221788921E-4, savedb6=4.740385728377198E-5, saveda6=1.471000511204878E-4, savedb7=0.9975435313899759, saveda7=1.7789213816333838E-4, savedb8=3.296985262957653E-12, saveda8=1.7000950390199204E-4, savedb9=4.258129853795636E-13, saveda9=1.5023082992980766E-4}
{saved1=0.14771560097800635, saveda10=2.081194582106037E-4, saved3=1.0970213496533642E-5, savedb10=3.243025057696575E-5, CFJ6UW6tW=3.4329446276165664E-4, savedb0=8.39336618386021E-5, savedc1=9.197222997563338E-4, savedb1=1.7922628083465267E-4, savedb2=7.935617417201052E-6, savedb3=7.24444212247488E-4, savedb4=2.3525679632851149E-7, savedb5=7.768186023597873E-5, saveda5=0.15790814540952172, savedb6=0.001336448805781572, saveda6=0.1647495388430803, savedb7=7.18208885412146E-4, saveda7=0.16952289950087096, savedb8=0.0010249134343108153, saveda8=0.1696423006872832, savedb9=4.153255212790244E-4, saveda9=0.15971259207529653}
